modelo,hashrate,algoritmo,rentabilidad
Bitmain Antminer KA3 (166Th), 166Th/s,Kadena,
Bitmain Antminer K7 (63.5Th), 63.5Th/s,Eaglesong,
Bitmain Antminer L7 (9.5Gh), 9.5Gh/s,Scrypt,
Bitmain Antminer L7 (9.3Gh), 9.3Gh/s,Scrypt,
Bitmain Antminer L7 (9.16Gh), 9.16Gh/s,Scrypt,
Bitmain Antminer L7 (9.05Gh), 9.05Gh/s,Scrypt,
Bitmain Antminer L7 (8.8Gh), 8.8Gh/s,Scrypt,
iBeLink BM-K3, 70Th/s,Kadena,
Bitmain Antminer HS3 (9Th), 9Th/s,Handshake,
iPollo G1, 36GPS,Cuckatoo32,
iBeLink BM-N3, 25Th/s,Eaglesong,
Goldshell SC6-SE, 17Th/s,Blake2B-Sia,
Bitmain Antminer D7 (1286Gh), 1.286Th/s,X11,
Bitmain Antminer S19 XP Hyd (255Th), 255Th/s,SHA-256,
Bitmain Antminer E9 Pro (3.68Gh), 3.68Gh/s,EtHash,
Jasminer X4, 2.5Gh/s,EtHash,
Jasminer X16-Q, 1.845Gh/s,EtHash,
Goldshell KD Max, 40.2Th/s,Kadena,
Goldshell HS6, 4.3Th/s,2  ,
Bitmain Antminer Z15, 420ksol/s,Equihash,
ForestMiner EPU XC, 4.25Gh/s,EtHash,
Bitmain Antminer S19 XP (140Th), 140Th/s,SHA-256,
Goldshell CK6, 19.3Th/s,Eaglesong,
Jasminer X4-Q, 1.04Gh/s,EtHash,
Goldshell KD6, 29.2Th/s,Kadena,
Goldshell HS6-SE, 3.7Th/s,2  ,
Bitmain Antminer E9 (2.4Gh), 2.4Gh/s,EtHash,
Goldshell KD Lite, 16.2Th/s,Kadena,
iBeLink BM-S1 Max, 12Th/s,Blake2B-Sia,
Goldshell KD6-SE, 25.3Th/s,Kadena,
iPollo V1, 3.6Gh/s,EtHash,
Baikal BK-G28, 28Gh/s,8  ,
Jasminer X4-1U, 520Mh/s,EtHash,
iPollo V1 Classic, 1.55Gh/s,EtHash,
Goldshell ST-BOX, 13.92kh/s,CryptoNightR,
Jasminer X4-C 1U, 450Mh/s,EtHash,
Goldshell HS3, 2Th/s,2  ,
Goldshell LT Lite, 1.62Gh/s,Scrypt,
iBeLink BM-K1 Max, 32Th/s,Kadena,
iPollo V1 Mini SE Plus, 400Mh/s,EtHash,
Goldshell HS Lite, 1.36Th/s,2  ,
Canaan Avalon Made A1366, 130Th/s,SHA-256,
Goldshell KD-BOX 2, 5Th/s,2  ,
Goldshell LT6, 3.35Gh/s,Scrypt,
Goldshell CK6-SE, 17Th/s,Eaglesong,
Goldshell HS5, 2.7Th/s,2  ,
Innosilicon A6+ LTCMaster, 2.2Gh/s,Scrypt,
iPollo V1 Mini SE, 200Mh/s,EtHash,
Baikal BK-X, 10Gh/s,8  ,
Goldshell SC-BOX, 900Gh/s,Blake2B-Sia,
Goldshell CK Lite, 6.3Th/s,Eaglesong,
iPollo G1 Mini, 1.2GPS,Cuckatoo32,
iPollo V1 Mini, 300Mh/s,EtHash,
Goldshell CK-BOX 2, 2.1Th/s,2  ,
Goldshell HS3-SE, 930Gh/s,2  ,
Goldshell KD-BOX Pro, 2.6Th/s,Kadena,
Jasminer X4 BRICK, 65Mh/s,EtHash,
iPollo V1 Mini Classic, 130Mh/s,EtHash,
Goldshell HS-BOX, 235Gh/s,2  ,
Dayun Zig M1, 2.611Gh/s,5  ,
MicroBT Whatsminer M50S, 126Th/s,SHA-256,
iPollo V1 Mini Classic Plus, 280Mh/s,EtHash,
Goldshell CK-BOX, 1.05Th/s,Eaglesong,
Goldshell LB1, 87Gh/s,Lbry,
Goldshell CK5, 12Th/s,Eaglesong,
Goldshell LB-BOX, 175Gh/s,Lbry,
Goldshell Mini-DOGE Pro, 205Mh/s,Scrypt,
Baikal Mini Miner, 150Mh/s,6  ,
MicroBT WhatsMiner M56S, 212Th/s,SHA-256,
